"","gene_ID","CSDE1_vs_IgG_log2FoldChange","CSDE1_vs_IgG_pvalue","CSDE1_vs_IgG_padj","CSDE1_vs_Capture_log2FoldChange","CSDE1_vs_Capture_pvalue","CSDE1_vs_Capture_padj","GENE_NAME"
"2557","ENSMUSG00000021028.8",-0.64760408763466,0.0531752903820924,0.10533925040896,-1.58258659232245,3.64896706769845e-07,2.62943648919214e-06,"Mbip"
"2558","ENSMUSG00000021032.13",-0.139240262510169,0.895132441077722,0.932044070762058,1.0870788126005,0.29804178775896,0.419574723790298,"Ngb"
"2559","ENSMUSG00000021033.11",-0.969283228213747,0.0102591688719416,0.0261645915081294,-1.21981284696335,0.00107740349466314,0.00380558012797008,"Gstz1"
"2560","ENSMUSG00000021036.10",0.611645450051551,0.000202742948858911,0.00082391570349846,0.604225398662383,0.000188577097134766,0.000800786505599847,"Sptlc2"
"2561","ENSMUSG00000021037.7",0.564510724306055,0.0194445554882209,0.0451326400620493,0.541246212220933,0.0224048112072791,0.052495526463681,"Ahsa1"
"2562","ENSMUSG00000021038.17",0.0265247530151925,0.881581461955162,0.922334856783588,-0.32114397061117,0.0619908663689079,0.121933107540217,"Vipas39"
"2563","ENSMUSG00000021039.9",-0.189710623624467,0.293197538056286,0.40929769019554,0.165173325793597,0.343809497746706,0.466804839738342,"Snw1"
"2564","ENSMUSG00000021040.15",0.00641866567951348,0.993980055675065,0.99768814832889,-2.31906616743497,0.00561355534197694,0.0162391820307908,"Slirp"
"2565","ENSMUSG00000021044.15",0.646111894112995,3.30691904112941e-05,0.000159072264135357,0.820721932993724,2.10419526178497e-08,1.87526045401274e-07,"Adck1"
"2566","ENSMUSG00000021047.7",-0.0979266559685554,0.731076814120029,0.81043116384159,-0.758556577426024,0.00676304968992137,0.0190709470720871,"Nova1"
"2567","ENSMUSG00000021048.7",-0.355662958050724,0.414535355008629,0.532161213446652,0.255942719221678,0.551730480695641,0.660236464889677,"Mthfd1"
"2568","ENSMUSG00000021051.10",0.21945462025856,0.269005202869141,0.383468380948453,-0.174249583650907,0.37085406087797,0.493574607522502,"Ppp2r5e"
