target_id	gene
XR_874489.2	1700087M22Rik
NR_073362.1	1700091H14Rik
NR_045467.1	1700092C02Rik
NR_045931.1	1700092C10Rik
NR_045933.1	1700092E19Rik
NR_045930.1	1700092K14Rik
NM_001177347.1	1700092M07Rik
NR_040580.1	1700094J05Rik
XR_867780.1	1700094M23Rik
XR_867781.1	1700094M23Rik
XR_867782.1	1700094M23Rik
XR_867783.1	1700094M23Rik
NR_046049.1	1700094M24Rik
XR_877619.1	1700095A13Rik
NR_045468.1	1700095A21Rik
NR_040675.1	1700095B10Rik
NR_040676.1	1700095B10Rik
XR_001778257.1	1700095J03Rik
NR_126429.1	1700095J12Rik
NR_027883.1	1700096J18Rik
NR_027388.1	1700096K18Rik
NR_131165.1	1700096P03Rik
NR_045287.1	1700097N02Rik
NR_130318.1	1700099I09Rik
NR_130171.1	1700099I09Rik
NR_126548.1	1700100I10Rik
NR_126549.1	1700100I10Rik
NR_126551.1	1700100I10Rik
NR_126550.1	1700100I10Rik
NR_045934.1	1700100L14Rik
XR_104762.3	1700101G07Rik
NR_045270.1	1700101I11Rik
NR_045045.1	1700101O22Rik
NR_045302.1	1700102H20Rik
NR_045303.1	1700102H20Rik
XR_869979.2	1700102J08Rik
XR_869980.2	1700102J08Rik
NR_108033.1	1700104L18Rik
NR_045703.1	1700105P06Rik
NR_015485.1	1700108F19Rik
NR_015532.1	1700108J01Rik
XR_001784782.1	1700108N06Rik
NR_033788.1	1700109G14Rik
NR_046197.1	1700109G15Rik
NM_029843.2	1700109H08Rik
NR_045936.1	1700109I08Rik
NR_108037.1	1700109K24Rik
NR_045461.1	1700110C19Rik
NR_038059.1	1700110I01Rik
NR_131068.1	1700110I07Rik
NR_040728.1	1700110K17Rik
NR_033213.2	1700111N16Rik
XR_389634.1	1700112D23Rik
NR_040472.1	1700112H15Rik
NR_077218.1	1700112J05Rik
NR_131043.1	1700112J16Rik
NR_131044.1	1700112J16Rik
XR_878753.1	1700112N08Rik
XR_878754.1	1700112N08Rik
XR_387693.3	1700112N08Rik
NR_045997.1	1700113A16Rik
NR_131003.1	1700113B09Rik
NR_131005.1	1700116B05Rik
NR_131006.1	1700116B05Rik
XR_877099.1	1700116H05Rik
XR_877098.2	1700116H05Rik
XR_001782254.1	1700116H05Rik
XR_877101.2	1700116H05Rik
XR_877102.1	1700116H05Rik
NR_040536.1	1700119H24Rik
NR_045627.2	1700120C14Rik
NR_045368.1	1700120E14Rik
NR_046050.1	1700120G07Rik
NR_027915.1	1700120K04Rik
NR_045453.1	1700121L16Rik
NR_036593.1	1700121N20Rik
NR_131009.1	1700122C19Rik
NR_131008.1	1700122C19Rik
XR_106144.4	1700122E12Rik
XR_876368.1	1700122H20Rik
NM_029689.1	1700122O11Rik
NR_131047.1	1700123J17Rik
NR_131046.1	1700123J17Rik
NR_003643.1	1700123L14Rik
NR_040577.1	1700123M08Rik
NR_045185.1	1700123O12Rik
NR_045799.1	1700123O21Rik
NR_105027.1	1700124L16Rik
XR_380138.1	1700124M09Rik
NR_040651.1	1700125G02Rik
NR_040548.1	1700125G22Rik
NR_038181.1	1700125H03Rik
NR_038189.1	1700125H03Rik
XR_001785411.1	1700126G02Rik
NR_040695.1	1700126H18Rik
NR_045938.2	1700128A07Rik
XR_870147.1	1700128E19Rik
NR_033618.2	1700128F08Rik
NM_026461.2	1700129C05Rik
XR_001781153.1	1700129C05Rik
XR_001781154.1	1700129C05Rik
XM_006519481.3	1700129C05Rik
XM_017316174.1	1700129C05Rik
XM_006519482.3	1700129C05Rik
NR_040439.1	1810006J02Rik
NR_045472.1	1810007C17Rik
NR_038136.1	1810007D17Rik
NR_045301.1	1810008I18Rik
NM_001102660.1	1810009J06Rik/Gm2663
NM_023707.3	1810009J06Rik/Gm2663
NM_026939.1	1810009N02Rik
NR_033626.1	1810010D01Rik
NR_045473.1	1810012K16Rik
NR_045427.1	1810013A23Rik
XR_376286.3	1810013D15Rik
XR_867796.2	1810013D15Rik
XR_867797.2	1810013D15Rik
NR_015572.2	1810014B01Rik
