"","Csde1","Csde2","Csde3","IgG1","IgG2","IgG3","Input1","Input2","Input3"
"Gm32100",8.11819908506322,4.63994473763282,1.61181780148044,13.7966479818803,0,0,14.8498004339169,13.0912157503431,7.04315702067552
"Gm32101",0,0,0,0,0,0,0,0,0
"Gm32105",0,0,0,0,0,0,0,0,0
"Gm32110",0,0,0,0,0,0,1.35019152537779,0.530918188152556,0.727217870130688
"Gm32112",6.9141964025491,2.88752687359985,9.76466084014728,0,0,0,7.8809172308808,6.62885624602392,8.90232225209694
"Gm32113",7.07955096962082,7.89331016348377,7.88736448234851,3.13318655533652,62.5630105548253,41.7767133344837,40.47026729281,35.4170892384476,38.5315957308675
"Gm32117",2.70606636168774,0.927988947526564,1.61181780148044,0,0,14.2823993216839,4.79025820448933,2.5175414904506,4.69543801378368
"Gm32119",0,0,1.61181780148044,0,0,0,1.4370774613468,0,0
"Gm32121",0,0,0,0,0,0,0,0,0
"Gm32122",4.86940365743784,4.38976099882084,0,7.88895499010753,12.7122782436329,30.4349506279845,11.5184678316669,10.0121810371583,7.67186426270375
"Gm32123",0,1.63799166815309,0,2.76114252790474,32.9305896078721,0,5.76956812013176,13.3466544841718,10.0961783750521
"Gm32124",5.6379551570853,0.482624641195834,0,0,0,0,2.27365855953359,2.90669649910718,2.38823269235018
"Gm32126",0,0,0,0,0,0,0,0,0
"Gm32128",0,0,0,0,0,0,0,0,0
"Gm3213",0,0,0,0,0,0,0,0,0.47380149254293
"Gm32130",0,1.16029999013682,0,0,0,0,5.67058568845566,5.13659558801087,4.57315298747444
"Gm32131",0,0,0,0,0,0,0.479025820448933,0,0
"Gm32133",13.8930318068858,10.0522363054958,13.4281339530106,36.1432422099802,59.2516459393785,43.9129894244866,53.5557521496667,50.4006143912329,43.630255610903
"Gm32135",10.824265446751,7.88790605397579,8.05908900740222,63.4645807166493,19.4849390274457,3.57059983042098,14.8498004339169,17.1192821350641,16.9035768496213
"Gm32137",0,0,0,0,0,0,0,1.00701659618024,0.939087602756737
"Gm32139",18.7238420417209,15.0108962281399,10.3485836421116,50.6478251080089,7.78891271485529,0,31.847188419228,27.5221649436174,28.5365131840422
"Gm32141",0,0,0,0,0,0,0,0,0
"Gm32142",0,0,0,0,0,0,1.37446041128408,1.02075797595289,0.473915349198978
"Gm32143",1.10882602701286,0.393017194016552,4.05397998028745,0,21.0273780096988,0,13.1008125996319,8.24431271560112,5.45251328883096
"Gm32144",1.49757375678955,0,1.78433346849408,0,0,0,1.56541592903555,0,0.506938054080172
"Gm32148",1.35303318084387,0.463994473763282,1.61181780148044,0,0,0,1.91610328179573,3.02104978854072,0
"Gm32150",2.77645996146406,6.64970473947767,9.9017220273875,8.64117919499705,3.6866833329222,38.0391526923755,23.8503115074879,16.1435094616295,11.1783546911156
"Gm32151",2.70606636168774,9.11307789675273,12.6333319976093,19.0016811745628,24.7990133076582,46.4833041763289,13.1573839198734,6.99959598805828,14.011444462179
"Gm32158",0,0,0,0,0,0,0.595501932002561,0,1.4086314041351
"Gm32162",0,0,0,0,0,0,0,0,0
"Gm32164",1.35998775550198,0,1.62151721599373,0,0,0,3.37327724258789,1.95586997887677,3.215582598498
"Gm32167",4.05909954253161,0.463994473763282,1.61181780148044,0,0,0,2.39512910224467,4.53157468281109,3.75635041102695
"Gm32168",20.2954977126581,12.9918452653719,19.3418136177653,5.51865919275212,5.31407428021246,0,28.2625234064871,26.6859397987764,22.0685586647833
"Gm32171",0,0,0,0,0,13.9054242713971,0,0.554038266077877,2.56843756270432
"Gm32172",2.00313552906899,18.3856927225795,17.0523916200911,50.3723587392236,66.422003336345,0,40.3053239424093,41.3276431374389,39.4652858182239
"Gm32173",0,0,0,0,0,0,0,0.503508298090121,0
"Gm32176",0,0,0,0,0,0,0,0,0
"Gm32177",0,0,0,0,0,0,0.479025820448933,1.00701659618024,0
"Gm32178",31.7986575744112,27.8968557163301,42.8898721577395,106.808139405637,102.728138128757,71.7493062794293,83.7892474754235,96.4033815692929,70.1952603075857
"Gm32183",0,0,0,0,0,0,0.842871257152576,0,0
"Gm32184",5.28156853346472,1.06070935412529,0,0,0,0,2.69564859726591,3.15298114460184,1.36858939766514
"Gm32185",4.05909954253161,0.463994473763282,3.22363560296089,0,17.7135809340415,8.92649957605246,4.3112323840404,5.03508298090121,3.28680660964858
"Gm32186",8.15688847634416,1.42570052422347,3.66825037613339,0,14.1415343882971,0,7.185387306734,7.70764847456708,4.28730539169095
"Gm32187",1.63820516105868,0,5.84834216327862,12.9497147350105,0,0,2.14620681178746,0.913373877531063,2.42121953338439
"Gm3219",29.6614103536242,34.928135014306,71.4319284747555,22.5377596738908,15.3003939286364,7.24899843558976,82.1632594699336,91.1729302970495,90.8719096265767
"Gm32190",0,0,0,0,0,0,0,0,0
"Gm32191",0,0,0,0,0,0,0,0,0.469543801378368
"Gm32194",1.55938661370042,0,0,0,0,0,0,0,0.489129902687776
"Gm32196",0,0,0,0,0,0,0,0.514114980732525,0
"Gm32197",4.02836374104644,0.463994473763282,4.83545340444133,24.3198367267959,39.4762127144569,42.8471979650518,17.6613977904571,23.3266184839553,15.0310156835733
"Gm32199",0,0.930077675135975,0,9.6332627519553,0,2.00744462502165,3.4751165739828,7.81177485589098,1.07363628887981
"Gm32200",1.01753472872378,2.78283601814454,2.45207521488294,45.9799184480171,0,7.51692187505648,4.66910624042138,2.67523702043485,2.37064002969322
"Gm32202",0,0,0,0,0,0,0.985619746060773,0,0
"Gm32204",0,0,1.61181780148044,0,0,0,0,0,0.469543801378368
"Gm32208",15.4226949265647,12.7848367024599,11.1967674615734,60.052628207109,20.7335994825634,0,52.9673672384064,47.8522644668981,37.8462580657567
"Gm32209",0,0,0,0,0,0,3.08202026163778,3.20249075843714,2.89478415195819
"Gm32210",0,0,0,0,0,0,0,0,0
"Gm32211",5.42732310367152,8.61466722423111,4.18671783363327,22.3023872913363,0,21.4235989825259,29.7961688580302,20.6104054195053,23.1788108867479
"Gm32213",0,0,0,0,0,0,0,0,0
"Gm32214",9.4712322659071,10.6718728965555,6.44727120592178,0,0,16.0676992368944,19.6400586384063,18.1262987312443,20.6599272606482
"Gm32216",0,0.666212257593001,0,0,0,0,0.384759024755201,0.404246021988135,0
"Gm32219",0,0,0,0,0,0,0.645615244883139,0.667924429835853,0
"Gm32220",3.43220374015512,0.249426096617758,0,0,0,0,0.626467904942093,0,0
"Gm32221",0,0,0,0,0,0,0.958051640897867,1.00701659618024,0.939087602756737
"Gm32223",0,0,0,0,0,0,0,0,0.469543801378368
"Gm32224",6.00949886591502,7.93913709144904,8.76588604369055,0,15.7112933620917,0,7.65615210833755,6.70927396121804,10.9098484097413
"Gm32229",0,0.469494373746973,0,0,0,0,0.486734081387171,0.915612299034931,0.476498142096229
"Gm32230",0,0,0,0,0,0,0.479025820448933,0.503508298090121,0
"Gm32231",0,0,0,0,0,0,0,0,0
"Gm32232",0,0.463994473763282,0,0,0,5.35589974563148,5.7483098453872,5.03508298090121,5.16498181516205
"Gm32234",2.70606636168774,1.85597789505313,1.61181780148044,38.6306143492648,15.9422228406374,0,9.10149058852974,10.0701659618024,8.45178842481063
"Gm32235",0,0,0,0,0,0,0,0,0
"Gm32236",0,0.655370759967302,0,3.80148430411458,1.26067027428069,0,2.30951413668543,1.77715143452474,1.24837935280886
"Gm32237",0,0,0,0,0,0,0,0.503508298090121,0
"Gm32240",0,0.49300692140698,0,0,0,0,1.02554680449316,0,0
"Gm32242",0,0,0,0,0,0,0,0,0
"Gm32243",0,0,0,0,0,0,0,0.503508298090121,0
"Gm32245",13.6958561603658,20.9541625130325,19.0245917173556,0,98.8517505803406,10.9888984755807,46.5866431468673,40.3186517281297,50.0395404032661
"Gm32246",0,0,0,0,0,0,0.479025820448933,0,0.469543801378368
"Gm32247",41.062247542365,35.7471422241851,47.2110007998133,138.346825728495,147.082035859348,81.2902017388401,159.184712135531,125.560442214272,143.451257203468
"Gm32249",0,0,0,0,0,0,0,0.675750518015017,0
"Gm32250",17.6612239174931,14.3768297304063,16.3226180597729,2.91011691432174,42.977222786398,35.6983525018113,125.173816029294,124.935980812311,82.3274628779423
"Gm32252",0.90202212056258,1.05750064313842,0,0,0,0,1.27740218786382,1.00701659618024,0.313029200918912
"Gm32255",0,0,0,0,0,0,1.4370774613468,0.503508298090121,0.939087602756736
"Gm32257",0,0,0,0,0,0,0,0,0
"Gm32258",2.24716755026023,2.79351136480712,9.78070001455051,3.38631896154127,21.2562971208498,0,26.5888579216327,13.6527251144285,14.2541358364277
"Gm32259",0,0,0,0,0,0,0,0,0
"Gm32261",40.7662391820945,38.2139222323019,29.4832998182409,144.892751418634,137.571137331925,133.705704072433,123.798077215006,113.427171881459,103.019820206916
"Gm32262",19.3397421914007,22.2966257611263,16.3954311649277,0,36.1796621709214,0,29.9035955312361,25.4457457989433,26.9161078790475
"Gm32263",2.70606636168774,0.927988947526564,1.61181780148044,0,0,0,8.14343894763187,6.54560787517157,8.45178842481063
"Gm32266",3.10889634204243,0,1.85021835788947,0,0,0,0.760214798479479,1.35301021005163,3.67512553265864
"Gm32267",10.824265446751,7.88790605397579,4.83545340444133,0,10.6281485604249,10.711799491263,17.2449295361616,14.0982323465234,17.3731206509996
"Gm32268",1.35303318084387,5.1039392113961,6.44727120592178,0,0,0,37.3640139950168,29.203481289227,24.8858214730535
"Gm32269",3.2962550045691,1.19046704835218,0,0,13.6257294304466,0,3.59112141367853,3.76670353569612,2.87480918464843
"Gm32273",16.8098272281887,10.0924248000591,27.5046816403721,4.43907511532818,18.8005670409679,76.5259848325714,19.0834798700159,16.0452677231751,17.2118282873983
"Gm32275",1.35303318084387,9.74388394902892,3.22363560296089,24.8339663673845,24.7990133076582,0,21.0771360997531,15.6087572407937,22.0685586647833
"Gm32276",0,0.474794692230196,1.64823517446229,0,0,1.82918862001497,0,0.514876730751501,1.00654077051506
"Gm32278",2.70606636168774,1.39198342128985,4.83545340444133,0,0,0,3.35318074314253,3.02104978854072,4.22589421240531
"Gm32279",0,0,0,0,0,0,0,0,0
"Gm32280",10.824265446751,12.9918452653719,9.67090680888266,0,40.7412361482955,19.6382990673154,29.6996008678339,32.7280393758578,21.5990148634049
