"","csde_values.average_csde","input_values.average_input"
"COL22A1",485.737055704936,59.3578554669105
"COL23A1",385.761642246352,148.246326968962
"COL24A1",7.24894211217818,8.35152201095307
"COL25A1",621.186062726116,463.208197634927
"COL26A1",577.56799361879,347.910729645164
"COL27A1",138.472954867916,75.5401283693756
"COL28A1",102.99094630886,18.6249815959992
"COL2A1",1075.18920275918,158.277033971371
"COL3A1",1856.41392392962,312.497473918071
"COL4A1",17119.604290015,2852.8579956063
"COL4A2",13820.8141821195,2034.14960369509
"COL4A3",71.5588608953342,31.1394616647918
"COL4A3BP",618.613688895057,672.340189888637
"COL4A4",116.588148202366,43.4463860754175
"COL4A5",1055.98214827556,166.097447158367
"COL4A6",280.305921151952,64.1006584559837
"COL5A1",934.333613438723,205.630203189353
"COL5A2",1217.7592413977,235.047983409285
"COL5A3",43.2295964703179,14.1118148821461
"COL6A1",206.895224193879,108.08848521061
"COL6A2",357.836637767156,125.942478499153
"COL6A3",323.289867521972,115.537575306487
"Col6a4",38.1289835271603,23.072503378861
"COL6A5",23.8293951121888,15.8820563933422
"COL6A6",8.27613966203157,4.82030937568329
"COL7A1",148.907625180606,24.0013542825972
"COL8A1",93.0016636613107,62.9502920255702
"COL8A2",722.604115833135,168.221870074738
"COL9A1",32.8180171839174,12.3401361334653
"COL9A2",240.157105321331,93.1249248806182
"COL9A3",1665.10399325907,476.279552383739
"COLCA2",2.28242540105229,4.46986734071756
"COLEC10",0,0.327209947123721
"COLEC11",4.00697493713612,1.91142745828659
"COLEC12",226.189708808154,365.766560085543
"COLGALT1",1747.04437316281,1195.66083366347
"COLGALT2",193.242882489068,114.090358673461
"COLQ",1.12020544519995,1.25939599623264
"COMMD1",124.542269531141,179.345557847192
"COMMD10",115.288202118753,219.107900360821
"COMMD2",145.142940538982,248.839636427658
"COMMD3",282.12413870528,634.352952019273
"COMMD3-BMI1",814.486326784762,1523.08719973356
"COMMD4",471.054149829641,363.156685470604
"COMMD5",102.571649202539,90.5149209659385
"Commd6",70.5570884905827,150.707554362324
"COMMD7",655.204723126547,893.839309474685
"COMMD8",226.712965077421,470.149420478729
